医療機関名称,郵便番号,住所
一般財団法人ハスカッププラザ　苫小牧市保健センター,053-0018,北海道苫小牧市旭町２－９－７
吉川医院,053-0022,北海道苫小牧市表町５－２－３
医療法人社団　苫仁会　桜木ファミリークリニック,053-0832,北海道苫小牧市桜木町２－２５－１
医療法人社団　にっしん内科クリニック,053-0833,北海道苫小牧市日新町２－６－４３
医療法人社団　内科消化器科　サンクリニック,059-0032,北海道登別市新生町３－１１－１１
医療法人　札幌コロンビア内科,060-0001,北海道札幌市中央区北一条西３丁目時計台スクエアビル４階
医療法人社団　富田内科クリニック,060-0002,北海道札幌市中央区北二条西１－１マルイト札幌ビル２階
船員保険　北海道健康管理センター,060-0002,北海道札幌市中央区北二条西１－１マルイト札幌ビル４・５Ｆ
クリニック・イン・ザ・モーニング,060-0004,北海道札幌市中央区北四条西１６－１－３　栗林幌西ビル１階
医療法人社団進興会　札幌フジクリニック,060-0004,北海道札幌市中央区北四条西５－１アスティ４５　５Ｆ
社会医療法人交雄会メディカル　さっぽろ大通り内視鏡クリニック,060-0042,北海道札幌市中央区大通西４－６－１
公益財団法人パブリックヘルスリサーチセンター附属健康増進センター　札幌商工診療所,060-0061,北海道札幌市中央区南一条西５－１５－２
一般財団法人　札幌同交会病院,060-0062,北海道札幌市中央区南２条西１９－２９１
医療法人社団　結仁会　浜田内科消化器科クリニック,060-0063,北海道札幌市中央区南三条西２－１－１Ｈ＆Ｂプラザ４Ｆ
一般社団法人　日本健康倶楽部　北海道支部　さつきた健診の杜クリニック,060-0807,北海道札幌市北区北７条西４丁目１番地２　ＫＤＸ札幌ビル９Ｆ
公益財団法人　北海道結核予防会　札幌複十字総合健診センター,060-0808,北海道札幌市北区北８条西３－２８札幌エルプラザ５階
医療法人社団　啓仁会　福島医院,061-3212,北海道石狩市花川北二条２－２０２－２
医療法人　新産健会　スマイル健康クリニック,062-0052,北海道札幌市豊平区月寒東二条１６－１－９６
クリニックもりや,063-0051,北海道札幌市西区宮の沢一条１－１－３宮の沢１条ビル２階
医療法人社団　友善会　琴似ファミリークリニック,063-0814,北海道札幌市西区琴似４条２丁目１－２コルテナⅡ１階
医療法人社団　太田内科歯科,063-0833,北海道札幌市西区発寒１３条３－７－４５
医療法人新産健会　ことに・メディカル・サポート・クリニック,063-0841,北海道札幌市西区八軒一条西１丁目ザ・タワープレイス１Ｆ
医療法人社団　小泉呼吸器科・内科クリニック,064-0801,北海道札幌市中央区南一条西２７－１－４１
医療法人社団明日佳　札幌健診センター,064-0810,北海道札幌市中央区南１０条西１－１－３０ホテルライフォート札幌５Ｆ
医療法人　同仁会　新千歳空港クリニック,066-0012,北海道千歳市美々９８７－２２新千歳空港ビル１Ｆ
医療法人社団　尾谷内科,066-0037,北海道千歳市新富２－５－５
医療法人社団　岩見沢レディースクリニック,068-0028,北海道岩見沢市八条西１９－３－１
医療法人社団　藤花会　江別谷藤病院,069-0812,北海道江別市幸町２２－１
医療法人社団　森野会　緑苑クリニック,069-0815,北海道江別市野幌末広町２－１２
医療法人一誠会　はらだ内科内視鏡健診クリニック,070-0031,北海道旭川市１条通１６丁目右７号
医療法人　社団　功和会　佐久間病院,070-0035,北海道旭川市５条通７丁目左７号
山川内科医院,080-0011,北海道帯広市西一条南１１－２０
医療法人社団　たかはし内科・呼吸器内科クリニック,080-0013,北海道帯広市西三条南４－１４三条メディカルセンタービル３Ｆ
トキワ医院,087-0041,北海道根室市常盤町２－４
医療法人　ケイ・アイ　オホーツク海病院,099-2102,北海道北見市端野町２区７９３－１
パレスクリニック,100-0003,東京都千代田区一ツ橋１－１－１パレスサイドビル１Ｆ
クリニックフォア大手町,100-0004,東京都千代田区大手町１－２－１Ｏｔｅｍａｃｈｉ　Ｏｎｅ　地下１階
リーレクリニック大手町,100-0004,東京都千代田区大手町１－３－２大手町カンファレンスセンター地下１階
医療法人財団　京映会　大手町あおぞら健診クリニック,100-0004,東京都千代田区大手町２－１－１大手町野村ビルＢ１Ｆ
医療法人社団　ＭＹメディカル　ＭＹメディカルクリニック大手町,100-0004,東京都千代田区大手町２－３－１大手町プレイス地下２階
医療法人社団　榊原厚生会　榊原サピアタワークリニック,100-0005,東京都千代田区丸の内１－７－１２サピアタワー７Ｆ
ＭＡＲＵ　Ｂｙ　Ｔｏｋｙｏ　Ｂｕｓｉｎｅｓｓ　Ｃｌｉｎｉｃ,100-0005,東京都千代田区丸の内１－８－２鉄鋼ビルディング１階
医療法人社団　ウイリング　鉄鋼ビル丸の内クリニック,100-0005,東京都千代田区丸の内１－８－２鉄鋼ビルディング地下１階
東京ビジネスクリニック　八重洲北口,100-0005,東京都千代田区丸の内１－８－２鉄鋼ビルディング地下１階
Ｔｏｋｙｏ　Ｓｔａｔｉｏｎ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｌｉｎｉｃ,100-0005,東京都千代田区丸の内１－９－１　ＪＲ東日本東京駅構内グランルーフ１Ｆ
東京ビジネスクリニック　グランスタ丸の内,100-0005,東京都千代田区丸の内１－９－１ＪＲ東日本東京駅構内地下１階
一般財団法人　日本がん知識普及協会　付属　有楽町電気ビルクリニック,100-0006,東京都千代田区有楽町１－７－１
日比谷クリニック,100-0006,東京都千代田区有楽町１－７－１有楽町電気ビル南館３階
クリニックフォア有楽町,100-0006,東京都千代田区有楽町２－７－１イトシアＢ１Ｆ
帝国クリニック,100-0011,東京都千代田区内幸町１－１－１帝国ホテル本館４階
医療法人社団　青十字会　日比谷国際クリニック,100-0011,東京都千代田区内幸町２－２－３日比谷国際ビル地下１階
一般財団法人　健康医学協会　附属　霞が関ビル診療所,100-6003,東京都千代田区霞が関３－２－５霞が関ビル３階
医療法人社団　Ｔ．Ｏ．Ｐ．ドクターズ　東京国際クリニック,100-6209,東京都千代田区丸の内１－１１－１パシフィックセンチュリープレイス丸の内９Ｆ
Ｄクリニック東京ウェルネス,100-6210,東京都千代田区丸の内１－１１－１パシフィックセンチュリープレイス丸の内１０Ｆ
読売健康保険組合　読売クリニック,100-8055,東京都千代田区大手町１－７－１読売新聞ビル６Ｆ
医療法人社団　友好会　秋葉原メディカルクリニック,101-0021,東京都千代田区外神田１－１６－９朝風二号館ビル６Ｆ
医療法人社団ウイリング　ヘルスケアクリニック秋葉原,101-0021,東京都千代田区外神田１－１７－６アトレ秋葉原１　　５Ｆ
医療法人社団　友好会　秋葉原メディカルクリニック　アネックス,101-0022,東京都千代田区神田練塀町６８ムラタヤビル４Ｆ
医療法人社団　碧桜　秋葉原駅クリニック,101-0025,東京都千代田区神田佐久間町２－１大原ビル４Ｆ
スリークラウンメディカル,101-0031,東京都千代田区東神田１－１７－５東神田イチオクビル４Ｆ－Ｂ号室
岩本町アザレアクリニック,101-0032,東京都千代田区岩本町３－４－１広瀬ビル２Ｆ
医療法人社団　鈴森内科クリニック,101-0033,東京都千代田区神田岩本町１番地岩本町ビル４Ｆ
医療法人財団　同仁記念会　明和病院　健診センター,101-0041,東京都千代田区神田須田町１－１８－３階
神田すこやかクリニック,101-0041,東京都千代田区神田須田町１－３０－１パークホームズ千代田淡路町１０４
二宮内科クリニック,101-0044,東京都千代田区鍛冶町１－９－１第２大久保ビル３Ｆ
奥田医院,101-0046,東京都千代田区神田多町２－９
医療法人社団　裕健会　神田クリニック健康管理センター,101-0047,東京都千代田区内神田２－４－１
医療法人社団　雄治会　小川町メディカルクリニック,101-0052,東京都千代田区神田小川町２－１２進興ビルＢ１Ｆ
医療法人財団　福音医療会　神田キリスト教診療所,101-0053,東京都千代田区神田美土代町７ー４
医療法人社団　寿会　千代田診療所,101-0054,東京都千代田区神田錦町１－９
水道橋メディカルクリニック,101-0065,東京都千代田区西神田１－４－１１－３０１
公益財団法人　結核予防会　総合健診推進センター,101-8372,東京都千代田区神田三崎町１－３－１２
クリニックフォア飯田橋,102-0071,東京都千代田区富士見２－７－１プラーノ１Ｆ
医療法人社団　慶洋会　ケイアイ飯田橋クリニック,102-0072,東京都千代田区飯田橋３－１０－１０ガーデン・エア・タワー２階
医療法人社団　高典会　飯田橋クリニック,102-0072,東京都千代田区飯田橋４－６－９ＳＴビル２Ｆ
飯田橋みみ・はな・のどクリニック,102-0072,東京都千代田区飯田橋４－９－１０細谷ビル６Ｆ
九段下駅前ココクリニック,102-0073,東京都千代田区九段北１－２－１九段中央ビル３階
一般財団法人　全日本労働福祉協会　九段クリニック,102-0073,東京都千代田区九段北１－９－５
一般社団法人　ミエルカクリニック　ＬＳクリニック東京,102-0074,東京都千代田区九段南１－６－５九段会館テラスＢ１０９
半蔵門心療クリニック,102-0083,東京都千代田区麹町１－１０澤田麹町ビルＢ１Ｆ
麹町クリニック,102-0083,東京都千代田区麹町３－４－７啓ビル５階
佐々木内科クリニック,102-0083,東京都千代田区麹町４－４－６麹町４丁目小倉ビル２Ｆ
ＴＭクリニック麹町,102-0083,東京都千代田区麹町６－２－３０麹町ニュー彌彦ビル２Ｆ
常喜医院,102-0085,東京都千代田区六番町７－１番町グロリアビル１階
大森胃腸科,102-0092,東京都千代田区隼町２－１５
医療法人社団プラタナス　あなたのための統合ヘルスクリニック　イーク紀尾井町,102-0094,東京都千代田区紀尾井町１－２東京ガーデンテラス紀尾井町３Ｆ
紀尾井町内科,102-0094,東京都千代田区紀尾井町３－１ＫＫＤビル１階
一般財団法人　健康医学協会　附属　東都クリニック,102-0094,東京都千代田区紀尾井町４－１ホテルニューオータニガーデンタワー２Ｆ
浜町どいクリニック,103-0004,東京都中央区東日本橋１－１－４－１Ｆ
医療法人社団　墨水会　浜町センタービルクリニック,103-0007,東京都中央区日本橋浜町２－３１－１浜町センタービル７階
医療法人社団　進興会　浜町公園クリニック,103-0007,東京都中央区日本橋浜町２－４２－１０東京紙商健保会館
らいふサイエンス内科クリニック,103-0012,東京都中央区日本橋堀留町２－６－６ライフサイエンスビル５階
医療法人社団　高柳耳鼻咽喉科,103-0013,東京都中央区日本橋人形町２－２１－１－ＦＳビル２階
みんなの内科クリニック人形町・水天宮,103-0013,東京都中央区日本橋人形町２－２－３アライヴ人形町６階
医療法人社団　平郁会　日本橋かきがら町クリニック,103-0014,東京都中央区日本橋蛎殻町１－１０－４宮田ビル２階
ＫＫＣウエルネス東京日本橋健診クリニック,103-0015,東京都中央区日本橋箱崎町５－１４アルゴ日本橋ビル１階
つぶく医院,103-0016,東京都中央区日本橋小網町３－１２
医療法人社団　東京ハート会　日本橋ハートクリニック,103-0021,東京都中央区日本橋本石町３－２－１２社労士ビル２Ｆ
医療法人社団　小池医院,103-0022,東京都中央区日本橋室町１－１２－９
医療法人社団　中央みなと会　三井タワークリニック,103-0022,東京都中央区日本橋室町２－１－１日本橋三井タワー５Ｆ
日本橋内科・アレルギー科クリニック,103-0022,東京都中央区日本橋室町２－４－３－７Ｆ
日本橋室町三井タワー　ミッドタウンクリニック,103-0022,東京都中央区日本橋室町３－２－１日本橋室町三井タワー７Ｆ
日本橋・重田クリニック,103-0022,東京都中央区日本橋室町４－２－１３－５Ｆ
茅場町パークサイドクリニック,103-0025,東京都中央区日本橋茅場町２－２－１東石ビル１階
日本橋茅場町耳鼻咽喉科・アレルギー科,103-0025,東京都中央区日本橋茅場町２－８－１０碧山ビル３Ｆ
鉄鋼会館診療所,103-0025,東京都中央区日本橋茅場町３－２－１０鉄鋼会館５階
医療法人社団兜中央会　中島クリニック,103-0026,東京都中央区日本橋兜町８－８
サルスクリニック日本橋,103-0027,東京都中央区日本橋２－８－１東京日本橋タワーアネックス地下１階
医療法人社団　遼風会　栗原クリニック東京・日本橋,103-0027,東京都中央区日本橋３－２－６岩上ビル２階
医療法人財団　明理会　ＩＭＳ　Ｍｅ－Ｌｉｆｅクリニック東京,103-0027,東京都中央区日本橋３－６－２日本橋フロント２Ｆ
日本橋えがわクリニック,103-0028,東京都中央区八重洲１－１－３寿ビル２Ｆ
八重洲ヤヨイクリニック,103-0028,東京都中央区八重洲１－５－２０東京建物八重洲さくら通りビル４Ｆ
ホリスティッククリニック東京,104-0028,東京都中央区八重洲２－１１－３ＬＩＮＥＶＩＥＷ京橋　３Ｆ
医療法人社団　ＢＯＨ　細野クリニック,104-0031,東京都中央区京橋１－６－１１カンケン京橋ビル２Ｆ
医療法人社団明日望　東京アスボクリニック,104-0031,東京都中央区京橋２－２－１京橋エドグラン２４Ｆ
医療法人社団　順医会　京橋クリニック,104-0031,東京都中央区京橋２－５－２２キムラヤビル２階
医療法人扶桑会（財団）　中田診療所,104-0031,東京都中央区京橋２－８－１６中田診療所内科宛
京橋内科医院,104-0031,東京都中央区京橋２－８－２１昭和ビル別館４Ｆ
一般社団法人　白鯨会　八丁堀内科・泌尿器科・消化器内科　イサナクリニック,104-0032,東京都中央区八丁堀４－６－５キスワイヤ八丁堀ビル４Ｆ
医療法人社団　進興会　東京ダイヤビルクリニック,104-0033,東京都中央区新川１－２８－２５東京ダイヤビルディング３号館１Ｆ
医療法人社団　中央みなと会　中央みなとクリニック,104-0044,東京都中央区明石町８－１聖路加タワー２階
医療法人社団　慶友　慶友銀座クリニック,104-0045,東京都中央区築地１－１３－１１－２Ｆ
医療法人社団　春令会　築地クリニック,104-0045,東京都中央区築地６－２５－１０築地センタービル２・３Ｆ
医療法人社団　天裕会　のぞみクリニック築地,104-0045,東京都中央区築地７－１１－５中銀ベル築地マンシオン２Ｆ
医療法人社団　晴月会　月島耳鼻咽喉科,104-0052,東京都中央区月島１－８－１アイマークタワー２階
医療法人社団慶仁舎　月島タワークリニック,104-0052,東京都中央区月島２－１０－２ムーンアイランドタワー２Ｆ－２０２
医療法人社団　晴月会　晴海耳鼻咽喉科,104-0053,東京都中央区晴海５－２－３１ららテラスＨＡＲＵＭＩ　ＦＬＡＧ　３Ｆ
一般社団法人　健陽会　勝どきビュータワークリニック,104-0054,東京都中央区勝どき１－８－１勝どきビュータワー２Ｆ
医療法人社団東会　やべ耳鼻咽喉科,104-0061,東京都中央区銀座１－６－１３－１０６ギンザビル４Ｆ
吉川医院,104-0061,東京都中央区銀座１－９－１７
銀座リハビリ整形外科,104-0061,東京都中央区銀座３－２－１１ＧＩＮＺＡ　ＳＡＬＯＮＥ　３Ｆ
松屋通りクリニック,104-0061,東京都中央区銀座３丁目１２－１１第２タチバナ銀座ビル３階
医療法人社団　神和会　銀座富士クリニック,104-0061,東京都中央区銀座４－１１－２
医療法人財団　百葉の会　銀座医院　健康管理センター,104-0061,東京都中央区銀座４－１２－１５歌舞伎座タワー１６Ｆ
銀座並木通りクリニック,104-0061,東京都中央区銀座４－２－２第一弥生ビル７Ｆ
銀座なないろクリニック,104-0061,東京都中央区銀座５－５－１８銀座藤小西ビル８Ｆ
医療法人社団　医成会　みらいメディカルクリニック銀座,104-0061,東京都中央区銀座５－９－１５銀座清月堂ビル４Ｆ
銀座内科・神経内科クリニック,104-0061,東京都中央区銀座６－１２－１０銀座龍岡ビル２Ｆ
ＫＯＭＡＴＳＵ　ＣＬＩＮＩＣ,104-0061,東京都中央区銀座６－１３－９ＧＩＲＡＣ　ＧＩＮＺＡ　４階
レイクリニック,104-0061,東京都中央区銀座６－７－７第３岩月ビル２０１
医療法人順正会　ヴェスタクリニック銀座,104-0061,東京都中央区銀座７－１３－２ティアラグレイス銀座タワー８Ｆ
松本クリニック銀座,104-0061,東京都中央区銀座７－１５－３第５安田ビル２Ｆ
栗原クリニック,104-0061,東京都中央区銀座８－１２－５峯田ビル３Ｆ
銀座ハートクリニック,104-0061,東京都中央区銀座８－１６－５銀座中央ビル１Ｆ
銀座しまだ内科クリニック,104-0061,東京都中央区銀座８－４－２６イワキビル４Ｆ
虎ノ門中村クリニック,105-0001,東京都港区虎ノ門３－１０－４虎ノ門ガーデン１０３
神谷町クリニック,105-0001,東京都港区虎ノ門３－１７－１ＴＯＫＹＵＲＥＩＴ虎ノ門ビル１階
医療法人社団藤美会　藤美クリニック,105-0003,東京都港区西新橋１－２４－１６平和ビル６階
医療法人社団　天太会　チームメディカルクリニック,105-0003,東京都港区西新橋１－５－１４内幸町ビル１階
西新橋みむろクリニック,105-0003,東京都港区西新橋１－５－９－４Ｆル・グラシエルＢＬＤＧ．７０
医療法人社団康生会　シーエスケー・クリニック,105-0004,東京都港区新橋１－１３－１２堤ビル４Ｆ
医療法人社団　神州　日比谷公園健診クリニック,105-0004,東京都港区新橋１－１８－１航空会館４Ｆ
クリニックフォア新橋,105-0004,東京都港区新橋１－４－５ＦＰＧリンクス新橋９Ｆ
新橋アレルギー・リウマチクリニック,105-0004,東京都港区新橋２－１６－１ニュー新橋ビル３階３１８
医療法人社団　東雲会　新橋虎ノ門健康クリニック,105-0004,東京都港区新橋３－１－９－３０１新橋ビルディング３Ｆ
医療法人社団　新青会　新橋青木クリニック,105-0004,東京都港区新橋３－２３－４
医療法人社団　進興会　セラヴィ新橋クリニック,105-0004,東京都港区新橋４－３－１新虎安田ビル４Ｆ
医療法人社団　悠翔会　悠翔会在宅クリニック新橋,105-0004,東京都港区新橋５－１４－１０新橋スクエアビル７Ｆ
一般財団法人　労働医学研究会　新橋クリニック,105-0004,東京都港区新橋５－１５－５交通ビル２Ｆ
医療法人社団　ケイセイ会　パークサイドクリニック,105-0011,東京都港区芝公園２－６－８日本女子会館ビル２Ｆ
医療法人社団　生栄会　浜松町メディカルクリニック,105-0012,東京都港区芝大門２－３－１１芝清水ビル１Ｆ
ＤＮ画像診断クリニック東京,105-0012,東京都港区芝大門２－５－５住友芝大門ビル１Ｆ
ながさき内科医院,105-0013,東京都港区浜松町２－３－１日本生命浜松町クレアタワー４Ｆ
芝公園クリニック,105-0014,東京都港区芝３－１５－５－３Ｆ
医療法人社団　六医会　汐留シティセンターセントラルクリニック,105-0021,東京都港区東新橋１－５－２汐留シティセンター３Ｆ
竹芝水辺のクリニック,105-0022,東京都港区海岸１－１０－３０アトレ竹芝タワー棟３階
医療法人社団　進興会　浜松町ハマサイトクリニック,105-0022,東京都港区海岸１－２－２０汐留ビルディング２Ｆ
芝浦スリーワンクリニック,105-0023,東京都港区芝浦１－３－１０チサンホテル浜松町１Ｆ
虎ノ門ヒルズ桜十字クリニック,105-5505,東京都港区虎ノ門２－６－３　虎ノ門ヒルズステーションタワー５Ｆ
城山ガーデン桜十字クリニック,105-6003,東京都港区虎ノ門４－３－１城山トラストタワー３Ｆ
ＴＯＫＹＯウェルネスクリニック神谷町,105-6902,東京都港区虎ノ門４－１－１神谷町トラストタワー２Ｆ
汐留ガーデンクリニック,105-7090,東京都港区東新橋１－８－２カレッタ汐留Ｂ１
医療法人社団　優春会　伊原医院,105-7290,東京都港区東新橋１－７－１汐留メディアタワー地下２階
医療法人社団　光輝会　麻布光輝クリニック,106-0031,東京都港区西麻布３－３－２
泉ガーデン桜十字クリニック,106-0032,東京都港区六本木１－６－３泉ガーデンウイングＢ１Ｆ
六本木ＨＡＴクリニック,106-0032,東京都港区六本木３－１－１六本木Ｔ－ＣＵＢＥ　２Ｆ
医療法人社団　健徳会　わかばクリニック,106-0032,東京都港区六本木７－１５－１０クローバービル６Ｆ
医療法人社団　ＤＭＨ　キュアステーション六本木クリニック,106-0032,東京都港区六本木７－１５－１７ユニ六本木６Ｆ
さくら坂クリニック　ＳｏｐｈｙＡｎｃｅ,106-0032,東京都港区六本木７－７－１３アトラスタワー六本木２Ｆ
医療法人社団　なかよし会　麻布台クリニック,106-0041,東京都港区麻布台１－３－１麻布台ヒルズ森ＪＰタワー４Ｆ
医療法人社団　ヴェリタス・メディカル・パートナーズ　麻布医院,106-0045,東京都港区麻布十番１－１１－１エスティメゾン麻布十番３階
医療法人社団　桜倫会　麻布整形外科クリニック,106-0045,東京都港区麻布十番３－６－９ヒルサイド麻布１階
広尾クリニック内科・消化器,106-0047,東京都港区南麻布５－１０－２６－７Ｆ
医療法人財団厚生会　古川橋病院,106-8581,東京都港区南麻布２－１０－２１
湊メディカルクリニック,107-0052,東京都港区赤坂２－１１－３福田ビルウエスト２Ｆ
医療法人社団　赤坂記念小澁会　赤坂メディカルクリニック,107-0052,東京都港区赤坂２－１７－２２赤坂トラストタワー１Ｆ
医療法人社団　順幸会　小林メディカルクリニック東京,107-0052,東京都港区赤坂２－３－５赤坂スターゲイトプラザ２階
医療法人社団　大星会　大星クリニック,107-0052,東京都港区赤坂２－９－１１オリックス赤坂２丁目ビルＢ１
医療法人社団　健若会　東京予防医療クリニック,107-0052,東京都港区赤坂３－１３－１０新赤坂ビル５Ｆ
赤坂桜十字クリニック,107-0052,東京都港区赤坂３－２１－１３キーストーン赤坂ビル２Ｆ
医療法人順齢會　赤坂おだやかクリニック,107-0052,東京都港区赤坂５－３－１赤坂Ｂｉｚタワー２階
一般社団法人　秀令会　ＭＥＰ南青山,107-0062,東京都港区南青山１－３－３パークアクシス南青山一丁目タワーＮ棟５階
中山医院,107-0062,東京都港区南青山３－１４－１９
一般財団法人　産業医学研究財団　アークヒルズクリニック,107-6003,東京都港区赤坂１－１２－３２アーク森ビル３Ｆ
医療法人社団　赤坂パークビル脳神経外科　菅原クリニック　東京脳ドック,107-6102,東京都港区赤坂５－２－２０赤坂パークビル２Ｆ
医療法人社団ミッドタウンクリニック　東京ミッドタウンクリニック,107-6206,東京都港区赤坂９－７－１ミッドタウン・タワー６Ｆ
医療法人社団　赤坂記念小澁会　メディカルスクエア赤坂,107-6402,東京都港区赤坂２－１７－２２赤坂トラストタワー２Ｆ
東京シティクリニック三田,108-0014,東京都港区芝４－５－８池藤ビル２階
医療法人社団　健勝会　港三田クリニック,108-0014,東京都港区芝５－１－１３ＭＡビル三田Ⅱ６階
医療法人社団　重宣会　鈴木胃腸消化器クリニック,108-0014,東京都港区芝５－２７－１
医療法人社団　ＭＹメディカル　ＭＹメディカルクリニック田町三田,108-0014,東京都港区芝５－３３－１１田町タワー４Ｆ
クリニックフォア田町,108-0023,東京都港区芝浦３－１－３２なぎさテラス４階
芝浦クリニック,108-0023,東京都港区芝浦３－１６－１中野興産ビル１Ｆ
芝浦健診クリニック,108-0023,東京都港区芝浦３－１８－１７東京港健保３Ｆ
医療法人社団　広進会　芝浦アイランド皮フ科,108-0023,東京都港区芝浦４－２０－４芝浦アイランドブルームホームズ２階
