facility_code,name,zip,address,longitude,latitude,method,matching_level
A020031,川口内科,030-0847,青森県青森市東大野１－８－４,140.74271003,40.8006318,geocoding,
A020008,高　内科小児科医院,030-0957,青森県青森市蛍沢３－１２－１５,140.80251062,40.79848089,geocoding,
A020023,剛　整形外科クリニック,030-0966,青森県青森市花園２－２２－３,140.77479011,40.82566589,geocoding,
A020040,医療法人　北村耳鼻咽喉科医院,031-0802,青森県八戸市小中野３－１－３０,141.50987605,40.51711103,geocoding,
A020019,医療法人　橋本耳鼻科クリニック,031-0823,青森県八戸市湊高台５－２０－１８,141.53665447,40.50782103,geocoding,
A020001,医療法人　悠陽　えと内科医院,034-0083,青森県十和田市西三番町１－２８,141.21103203,40.61356928,geocoding,
A020028,医療法人　相原内科医院,036-8062,青森県弘前市青山３－８－２,140.48036946,40.62228025,geocoding,
A020011,田中外科内科医院,038-3662,青森県北津軽郡板柳町大字板柳字土井２００,140.45507391,40.69802095,geocoding,
A020041,八戸西健診プラザ,039-1103,青森県八戸市長苗代字中坪７４－１,141.45058826,40.5168099,geocoding,
A020032,田名部整形外科,039-1165,青森県八戸市石堂１－５－２５,141.4796877,40.52809227,geocoding,
A010061,医療法人社団　守一会　北美原クリニック,041-0802,北海道函館市石川町３５０－１８,140.74441765,41.82707334,geocoding,
A010077,社会医療法人　仁生会　西堀病院,041-8555,北海道函館市中道２－６－１１,140.75835374,41.80579832,geocoding,
A010072,医療法人社団　三ッ山病院,047-0032,北海道小樽市稲穂１－９－２,140.99708899,43.19398035,geocoding,
A010089,医療法人社団　下地内科クリニック,050-0063,北海道室蘭市港北町１－１１－４,140.98563177,42.36111993,geocoding,
A010090,医療法人社団　はざま小児科クリニック,050-0073,北海道室蘭市宮の森町４－１２－１８,141.02648497,42.35545474,geocoding,
A010080,一般財団法人ハスカッププラザ　苫小牧市保健センター,053-0018,北海道苫小牧市旭町２－９－７,141.60538233,42.63121314,geocoding,
A010102,医療法人社団　保生会　沖医院,053-0018,北海道苫小牧市旭町４－４－１５,141.6064403,42.63346296,geocoding,6.0
A010007,吉川医院,053-0022,北海道苫小牧市表町５－２－３,141.59988795,42.6381456,geocoding,
A010010,医療法人社団　にっしん内科クリニック,053-0833,北海道苫小牧市日新町２－６－４３,141.54031767,42.63024685,geocoding,
A010008,医療法人社団　内科消化器科　サンクリニック,059-0032,北海道登別市新生町３－１１－１１,141.06245953,42.37524839,geocoding,
A010070,医療法人　札幌コロンビア内科,060-0001,北海道札幌市中央区北一条西３丁目時計台スクエアビル４階,141.35232617,43.0628784,geocoding,
A010086,医療法人社団　富田内科クリニック,060-0002,北海道札幌市中央区北二条西１－１マルイト札幌ビル２階,141.35566747,43.06446724,geocoding,
A010097,船員保険　北海道健康管理センター,060-0002,北海道札幌市中央区北二条西１－１マルイト札幌ビル４・５Ｆ,141.35566747,43.06446724,geocoding,
A010085,クリニック・イン・ザ・モーニング,060-0004,北海道札幌市中央区北四条西１６－１－３　栗林幌西ビル１階,141.3306945,43.06390244,geocoding,
A010101,医療法人社団進興会　札幌フジクリニック,060-0004,北海道札幌市中央区北四条西５－１アスティ４５　５Ｆ,141.34814298,43.06609734,geocoding,
A010088,社会医療法人交雄会メディカル　さっぽろ大通り内視鏡クリニック,060-0042,北海道札幌市中央区大通西４－６－１,141.35164022,43.06112025,geocoding,
A010003,公益財団法人パブリックヘルスリサーチセンター札幌商工診療所,060-0061,北海道札幌市中央区南一条西５－１５－２,141.35005437,43.05892322,geocoding,
A010069,一般財団法人　札幌同交会病院,060-0062,北海道札幌市中央区南２条西１９－２９１,141.32918972,43.05450627,geocoding,
A010100,医療法人社団　結仁会　浜田内科消化器科クリニック,060-0063,北海道札幌市中央区南三条西２－１－１Ｈ＆Ｂプラザ４Ｆ,141.356004,43.05690144,geocoding,
A010096,一般社団法人　日本健康倶楽部　北海道支部　さつきた健診の杜クリニック,060-0807,北海道札幌市北区北７条西４丁目１番地２　ＫＤＸ札幌ビル９Ｆ,141.34950932,43.06945256,geocoding,
A010006,公益財団法人　北海道結核予防会　札幌複十字総合健診センター,060-0808,北海道札幌市北区北８条西３－２８札幌エルプラザ５階,141.3499092,43.07091907,geocoding,
A010104,医療法人社団　明日佳　札幌きたはち健診センター,060-0808,北海道札幌市北区北八条西１－３さつきた８・１ビル１Ｆ,141.35307836,43.07153024,geocoding,6.0
A010017,医療法人社団　啓仁会　福島医院,061-3212,北海道石狩市花川北二条２－２０２－２,141.30694328,43.15941285,geocoding,
A010009,医療法人　新産健会　スマイル健康クリニック,062-0052,北海道札幌市豊平区月寒東二条１６－１－９６,141.41168168,43.02049859,geocoding,
A010105,南さっぽろ内科消化器クリニック,062-0931,北海道札幌市豊平区平岸１条２２丁目２－１５　ビッグハウスエクストラ２Ｆ,141.35767841,43.01469495,geocoding,6.0
A010049,クリニックもりや,063-0051,北海道札幌市西区宮の沢一条１－１－３宮の沢１条ビル２階,141.26606203,43.09453015,geocoding,
A010056,医療法人社団　友善会　琴似ファミリークリニック,063-0814,北海道札幌市西区琴似４条２丁目１－２コルテナⅡ１階,141.30274017,43.0816493,geocoding,
A010013,医療法人社団　太田内科歯科,063-0833,北海道札幌市西区発寒１３条３－７－４５,141.29404823,43.09918307,geocoding,
A010014,医療法人新産健会　ことに・メディカル・サポート・クリニック,063-0841,北海道札幌市西区八軒一条西１丁目ザ・タワープレイス１Ｆ,141.30852296,43.08226052,geocoding,
A010063,医療法人社団　小泉呼吸器科・内科クリニック,064-0801,北海道札幌市中央区南一条西２７－１－４１,141.31700733,43.05508077,geocoding,
A010004,医療法人社団明日佳　札幌健診センター,064-0810,北海道札幌市中央区南１０条西１－１－３０ホテルライフォート札幌５Ｆ,141.35716279,43.04700535,geocoding,
A010099,医療法人　同仁会　新千歳空港クリニック,066-0012,北海道千歳市美々９８７－２２新千歳空港ビル１Ｆ,141.67916917,42.78579806,geocoding,
A010103,医療法人社団仁尚会　千歳駅北クリニック,066-0027,北海道千歳市末広４－８－１０－２,141.6543214,42.83161992,geocoding,6.0
A010058,医療法人社団　尾谷内科,066-0037,北海道千歳市新富２－５－５,141.63698681,42.83303576,geocoding,
A010046,医療法人社団　岩見沢レディースクリニック,068-0028,北海道岩見沢市八条西１９－３－１,141.75278763,43.19144098,geocoding,
A010074,医療法人社団　ＣＯ・ＣＲＥＡ　江別記念病院,069-0812,北海道江別市幸町２２－１,141.53531885,43.10084674,geocoding,
A010043,医療法人社団　森野会　緑苑クリニック,069-0815,北海道江別市野幌末広町２－１２,141.51712928,43.0927609,geocoding,
A010002,医療法人一誠会　はらだ内科内視鏡健診クリニック,070-0031,北海道旭川市１条通１６丁目右７号,142.37243207,43.76125554,geocoding,
A010081,医療法人　社団　功和会　佐久間病院,070-0035,北海道旭川市５条通７丁目左７号,142.36057747,43.77025402,geocoding,
A010048,山川内科医院,080-0011,北海道帯広市西一条南１１－２０,143.20444906,42.91933868,geocoding,
A010075,医療法人社団　たかはし内科・呼吸器内科クリニック,080-0013,北海道帯広市西三条南４－１４三条メディカルセンタービル３Ｆ,143.20025742,42.9275819,geocoding,
A010064,トキワ医院,087-0041,北海道根室市常盤町２－４,145.5812535,43.33232826,geocoding,
A010068,医療法人　ケイ・アイ　オホーツクリハビリテーション病院,099-2102,北海道北見市端野町２区７９３－１,143.94226643,43.84923006,geocoding,
A130574,パレスクリニック,100-0003,東京都千代田区一ツ橋１－１－１パレスサイドビル１Ｆ,139.75708061,35.69116103,geocoding,
A131153,クリニックフォア大手町,100-0004,東京都千代田区大手町１－２－１Ｏｔｅｍａｃｈｉ　Ｏｎｅ　地下１階,139.76332197,35.68799765,geocoding,
A130971,リーレクリニック大手町,100-0004,東京都千代田区大手町１－３－２大手町カンファレンスセンター地下１階,139.76354415,35.68862815,geocoding,
A131331,医療法人財団　京映会　大手町あおぞら健診クリニック,100-0004,東京都千代田区大手町２－１－１大手町野村ビルＢ１Ｆ,139.76623296,35.68524248,geocoding,
A131231,医療法人社団　ＭＹメディカル　ＭＹメディカルクリニック大手町,100-0004,東京都千代田区大手町２－３－１大手町プレイス地下２階,139.76716063,35.686784,geocoding,
A130613,医療法人社団　榊原厚生会　榊原サピアタワークリニック,100-0005,東京都千代田区丸の内１－７－１２サピアタワー７Ｆ,139.76846338,35.68384824,geocoding,
A131169,ＭＡＲＵ　Ｂｙ　Ｔｏｋｙｏ　Ｂｕｓｉｎｅｓｓ　Ｃｌｉｎｉｃ,100-0005,東京都千代田区丸の内１－８－２鉄鋼ビルディング１階,139.77018826,35.68300116,geocoding,
A130915,医療法人社団　ウイリング　鉄鋼ビル丸の内クリニック,100-0005,東京都千代田区丸の内１－８－２鉄鋼ビルディング地下１階,139.77018826,35.68300116,geocoding,
A131387,Ｔｏｋｙｏ　Ｓｔａｔｉｏｎ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｌｉｎｉｃ,100-0005,東京都千代田区丸の内１－９－１　ＪＲ東日本東京駅構内グランルーフ１Ｆ,139.76677464,35.68183174,geocoding,
A131167,東京ビジネスクリニック　グランスタ丸の内,100-0005,東京都千代田区丸の内１－９－１ＪＲ東日本東京駅構内地下１階,139.76677464,35.68183174,geocoding,
A130527,一般財団法人　日本がん知識普及協会　付属　有楽町電気ビルクリニック,100-0006,東京都千代田区有楽町１－７－１,139.76123364,35.67441296,geocoding,
A131154,日比谷クリニック,100-0006,東京都千代田区有楽町１－７－１有楽町電気ビル南館３階,139.76123364,35.67441296,geocoding,
A131128,クリニックフォア有楽町,100-0006,東京都千代田区有楽町２－７－１イトシアＢ１Ｆ,139.76375288,35.67428804,geocoding,
A130923,帝国クリニック,100-0011,東京都千代田区内幸町１－１－１帝国ホテル本館４階,139.75954221,35.67180487,geocoding,
A130019,医療法人社団　青十字会　日比谷国際クリニック,100-0011,東京都千代田区内幸町２－２－３日比谷国際ビル地下１階,139.75435659,35.67037711,geocoding,
A130727,一般財団法人　健康医学協会　附属　霞が関ビル診療所,100-6003,東京都千代田区霞が関３－２－５霞が関ビル３階,139.74720716,35.67131016,geocoding,
A131000,医療法人社団　Ｔ．Ｏ．Ｐ．ドクターズ　東京国際クリニック,100-6209,東京都千代田区丸の内１－１１－１パシフィックセンチュリープレイス丸の内９Ｆ,139.76683582,35.67810437,geocoding,
A131252,ウェルスリープクリニック東京,100-6210,東京都千代田区丸の内１－１１－１パシフィックセンチュリープレイス丸の内１０Ｆ,139.76683582,35.67810437,geocoding,
A130805,読売健康保険組合　読売クリニック,100-8055,東京都千代田区大手町１－７－１読売新聞ビル６Ｆ,139.76449414,35.687145,geocoding,
A130032,医療法人社団　友好会　秋葉原メディカルクリニック,101-0021,東京都千代田区外神田１－１６－９朝風二号館ビル６Ｆ,139.77246843,35.69728303,geocoding,
A131415,医療法人社団ウイリング　ヘルスケアクリニック秋葉原,101-0021,東京都千代田区外神田１－１７－６アトレ秋葉原１　　５Ｆ,139.77284615,35.6986329,geocoding,
A131244,医療法人社団　友好会　秋葉原メディカルクリニック　アネックス,101-0022,東京都千代田区神田練塀町６８ムラタヤビル４Ｆ,139.77490155,35.70087161,geocoding,
A130995,医療法人社団　碧桜　秋葉原駅クリニック,101-0025,東京都千代田区神田佐久間町２－１大原ビル４Ｆ,139.77582391,35.69748032,geocoding,
A131313,スリークラウンメディカル,101-0032,東京都千代田区岩本町１－１３－５ＳＳスマートビル１階,139.7790768,35.69349752,geocoding,6.0
A131395,岩本町アザレアクリニック,101-0032,東京都千代田区岩本町３－４－１広瀬ビル２Ｆ,139.77698236,35.69490841,geocoding,
A130938,医療法人社団　鈴森内科クリニック,101-0033,東京都千代田区神田岩本町１番地岩本町ビル４Ｆ,139.77481567,35.69606101,geocoding,
A130473,医療法人財団　同仁記念会　明和病院　健診センター,101-0041,東京都千代田区神田須田町１－１８－３階,139.77106021,35.69551929,geocoding,
A131109,神田すこやかクリニック,101-0041,東京都千代田区神田須田町１－３０－１パークホームズ千代田淡路町１０４,139.76954087,35.6949943,geocoding,
A130341,二宮内科クリニック,101-0044,東京都千代田区鍛冶町１－９－１第２大久保ビル３Ｆ,139.77244638,35.69039765,geocoding,
A130850,奥田医院,101-0046,東京都千代田区神田多町２－９,139.76878815,35.69423603,geocoding,
A130099,医療法人社団　裕健会　神田クリニック健康管理センター,101-0047,東京都千代田区内神田２－４－１,139.76868825,35.68991427,geocoding,
A131500,クリニックフォア神保町,101-0051,東京都千代田区神田神保町２－８－１４神保町専大通りビル１Ｆ,139.75551662,35.69679093,geocoding,6.0
A130143,医療法人社団　雄治会　小川町メディカルクリニック,101-0052,東京都千代田区神田小川町２－１２進興ビルＢ１Ｆ,139.76482167,35.69519692,geocoding,
A130016,医療法人財団　福音医療会　神田キリスト教診療所,101-0053,東京都千代田区神田美土代町７ー４,139.76613276,35.69338882,geocoding,
A130930,医療法人社団　寿会　千代田診療所,101-0054,東京都千代田区神田錦町１－９,139.76397734,35.69272772,geocoding,
A131408,医療法人財団　小畑会　浜田病院,101-0062,東京都千代田区神田駿河台２－５,139.76083553,35.70039345,geocoding,6.0
A130367,水道橋メディカルクリニック,101-0065,東京都千代田区西神田１－４－１１－３０１,139.75702193,35.69993784,geocoding,
A130598,公益財団法人　結核予防会　総合健診推進センター,101-8372,東京都千代田区神田三崎町１－３－１２,139.75596363,35.70085437,geocoding,
A131129,クリニックフォア飯田橋,102-0071,東京都千代田区富士見２－７－１プラーノ１Ｆ,139.74457289,35.70068188,geocoding,
A130472,医療法人社団　慶洋会　ケイアイ飯田橋クリニック,102-0072,東京都千代田区飯田橋３－１０－１０ガーデン・エア・タワー２階,139.75053352,35.70046262,geocoding,
A130234,医療法人社団　高典会　飯田橋クリニック,102-0072,東京都千代田区飯田橋４－６－９ＳＴビル２Ｆ,139.74693378,35.70091803,geocoding,
A131392,飯田橋みみ・はな・のどクリニック,102-0072,東京都千代田区飯田橋４－９－１０細谷ビル６Ｆ,139.74554776,35.70175124,geocoding,
A130969,九段下駅前ココクリニック,102-0073,東京都千代田区九段北１－２－１九段中央ビル３階,139.75183361,35.69606036,geocoding,
A130160,一般財団法人　全日本労働福祉協会　九段クリニック,102-0073,東京都千代田区九段北１－９－５,139.75095027,35.69770182,geocoding,
A131254,一般社団法人　ミエルカクリニック　ＬＳクリニック東京,102-0074,東京都千代田区九段南１－６－５九段会館テラスＢ１０９,139.74937273,35.69508818,geocoding,
A131467,医療法人社団Ｎｏｂｉｓｕｋｏ　半蔵門のびすここどもクリニック,102-0082,東京都千代田区一番町４－１６プルミエール一番町１Ｆ,139.74268469,35.6878249,geocoding,6.0
A130558,半蔵門心療クリニック,102-0083,東京都千代田区麹町１－１０澤田麹町ビルＢ１Ｆ,139.74238482,35.68513908,geocoding,
A130812,麹町クリニック,102-0083,東京都千代田区麹町３－４－７啓ビル５階,139.73770469,35.68443626,geocoding,
A130561,佐々木内科クリニック,102-0083,東京都千代田区麹町４－４－６麹町４丁目小倉ビル２Ｆ,139.7352077,35.68425566,geocoding,
A131310,医療法人社団リンク　ＴＭクリニック麹町,102-0083,東京都千代田区麹町６－２－３０麹町ニュー彌彦ビル２Ｆ,139.73334671,35.68521663,geocoding,
A130738,常喜医院,102-0085,東京都千代田区六番町７－１番町グロリアビル１階,139.73444097,35.68739697,geocoding,
A130719,大森胃腸科,102-0092,東京都千代田区隼町２－１５,139.74187383,35.68313095,geocoding,
A131156,医療法人社団プラタナス　あなたのための統合ヘルスクリニック　イーク紀尾井町,102-0094,東京都千代田区紀尾井町１－２東京ガーデンテラス紀尾井町３Ｆ,139.73694799,35.67969495,geocoding,
A130944,紀尾井町内科,102-0094,東京都千代田区紀尾井町３－１ＫＫＤビル１階,139.735255,35.68195037,geocoding,
A130726,一般財団法人　健康医学協会　附属　東都クリニック,102-0094,東京都千代田区紀尾井町４－１ホテルニューオータニガーデンタワー２Ｆ,139.73493562,35.68120044,geocoding,
A131316,浜町どいクリニック,103-0004,東京都中央区東日本橋１－１－４－１Ｆ,139.78519071,35.69032583,geocoding,
A130721,医療法人社団　墨水会　浜町センタービルクリニック,103-0007,東京都中央区日本橋浜町２－３１－１浜町センタービル７階,139.78732154,35.68775399,geocoding,
A130887,医療法人社団　進興会　浜町公園クリニック,103-0007,東京都中央区日本橋浜町２－４２－１０東京紙商健保会館,139.78757989,35.6879012,geocoding,
A131447,さいとう内科・循環器クリニック,103-0011,東京都中央区日本橋大伝馬町１３－８－３Ｆ,139.78108791,35.69102841,geocoding,6.0
A131210,らいふサイエンス内科クリニック,103-0012,東京都中央区日本橋堀留町２－６－６ライフサイエンスビル５階,139.78089071,35.68936469,geocoding,
A131424,ｉこころクリニック日本橋,103-0012,東京都中央区日本橋堀留町２－６－６ライフサイエンスビル８Ｆ,139.78089904,35.68936747,geocoding,6.0
A130355,医療法人社団　高柳耳鼻咽喉科,103-0013,東京都中央区日本橋人形町２－２１－１－ＦＳビル２階,139.78448787,35.68593184,geocoding,
A131095,みんなの内科クリニック人形町・水天宮,103-0013,東京都中央区日本橋人形町２－２－３アライヴ人形町６階,139.78403773,35.68474861,geocoding,
A131035,医療法人社団　平郁会　日本橋かきがら町クリニック,103-0014,東京都中央区日本橋蛎殻町１－１０－４宮田ビル２階,139.78137661,35.68353198,geocoding,
A130766,ＫＫＣウエルネス東京日本橋健診クリニック,103-0015,東京都中央区日本橋箱崎町５－１４アルゴ日本橋ビル１階,139.78401223,35.67978244,geocoding,
A130778,つぶく医院,103-0016,東京都中央区日本橋小網町３－１２,139.78292353,35.68095452,geocoding,
A130126,医療法人社団　東京ハート会　日本橋ハートクリニック,103-0021,東京都中央区日本橋本石町３－２－１２社労士ビル２Ｆ,139.77083261,35.68743681,geocoding,
A130353,医療法人社団　小池医院,103-0022,東京都中央区日本橋室町１－１２－９,139.77548805,35.68618987,geocoding,
A130119,医療法人社団　中央みなと会　三井タワークリニック,103-0022,東京都中央区日本橋室町２－１－１日本橋三井タワー５Ｆ,139.77291032,35.68639255,geocoding,
A130358,日本橋内科・アレルギー科クリニック,103-0022,東京都中央区日本橋室町２－４－３－７Ｆ,139.77387974,35.68745634,geocoding,
A131147,日本橋室町三井タワー　ミッドタウンクリニック,103-0022,東京都中央区日本橋室町３－２－１日本橋室町三井タワー７Ｆ,139.77225754,35.68774515,geocoding,
A131089,日本橋・重田クリニック,103-0022,東京都中央区日本橋室町４－２－１３－５Ｆ,139.7719214,35.68976992,geocoding,
A130810,茅場町パークサイドクリニック,103-0025,東京都中央区日本橋茅場町２－２－１東石ビル１階,139.77764327,35.67952673,geocoding,
A130716,日本橋茅場町耳鼻咽喉科,103-0025,東京都中央区日本橋茅場町２－８－１０碧山ビル３Ｆ,139.77897093,35.67928791,geocoding,
A131102,鉄鋼会館診療所,103-0025,東京都中央区日本橋茅場町３－２－１０鉄鋼会館５階,139.77697661,35.67809908,geocoding,
A130033,医療法人社団兜中央会　中島クリニック,103-0026,東京都中央区日本橋兜町８－８,139.77774056,35.68125711,geocoding,
A131215,サルスクリニック日本橋,103-0027,東京都中央区日本橋２－８－１東京日本橋タワーアネックス地下１階,139.77511295,35.68156534,geocoding,
A131482,医療法人社団知正会　東京センタークリニック,103-0027,東京都中央区日本橋２－９－１０Ｌ．Ｂｉｚ日本橋３Ｆ,139.7748963,35.68136258,geocoding,6.0
A130552,医療法人社団　遼風会　栗原クリニック東京・日本橋,103-0027,東京都中央区日本橋３－２－６岩上ビル２階,139.77184095,35.68042092,geocoding,
A130111,医療法人財団　明理会　ＩＭＳ　Ｍｅ－Ｌｉｆｅクリニック東京,103-0027,東京都中央区日本橋３－６－２日本橋フロント２Ｆ,139.77248812,35.67960713,geocoding,
A130242,日本橋えがわクリニック,103-0028,東京都中央区八重洲１－４－１０八重洲仲通りビル８階,139.77176315,35.68225961,geocoding,6.0
A130430,八重洲ヤヨイクリニック,103-0028,東京都中央区八重洲１－５－２０東京建物八重洲さくら通りビル４Ｆ,139.7704216,35.6818735,geocoding,
A131332,ホリスティッククリニック東京,104-0028,東京都中央区八重洲２－１１－３ＬＩＮＥＶＩＥＷ京橋　３Ｆ,139.76677202,35.67575185,geocoding,
A130557,医療法人社団　ＢＯＨ　細野クリニック,104-0031,東京都中央区京橋１－６－１１カンケン京橋ビル２Ｆ,139.77210485,35.67742959,geocoding,
A131173,医療法人社団明日望　東京アスボクリニック,104-0031,東京都中央区京橋２－２－１京橋エドグラン２４Ｆ,139.76944118,35.67749617,geocoding,
A130954,医療法人社団　順医会　京橋クリニック,104-0031,東京都中央区京橋２－５－２２キムラヤビル２階,139.77023004,35.6764963,geocoding,
A130644,医療法人扶桑会（財団）　中田診療所,104-0031,東京都中央区京橋２－８－１６中田診療所内科宛,139.77119383,35.67721292,geocoding,
A131118,京橋内科医院,104-0031,東京都中央区京橋２－８－２１昭和ビル別館４Ｆ,139.77082163,35.67747399,geocoding,
A131364,一般社団法人　白鯨会　八丁堀内科・泌尿器科・消化器内科　イサナクリニック,104-0032,東京都中央区八丁堀４－６－５キスワイヤ八丁堀ビル４Ｆ,139.77526857,35.67451332,geocoding,
A130713,医療法人社団　進興会　東京ダイヤビルクリニック,104-0033,東京都中央区新川１－２８－２５東京ダイヤビルディング３号館１Ｆ,139.78434832,35.67501352,geocoding,
A130013,医療法人社団　中央みなと会　中央みなとクリニック,104-0044,東京都中央区明石町８－１聖路加タワー２階,139.77870469,35.66708367,geocoding,
